signal_date,symbol,signal_type,planned_execute,execution_price
2026-05-08,APH,ENTRY,2026-05-10,next_open
2026-05-08,COKE,ENTRY,2026-05-10,next_open
2026-05-08,WEC,ENTRY,2026-05-10,next_open
2026-05-08,LGND,ENTRY,2026-05-10,next_open
2026-05-08,IPGP,ENTRY,2026-05-10,next_open
2026-05-08,FERG,ENTRY,2026-05-10,next_open
2026-05-08,CVX,ENTRY,2026-05-10,next_open
2026-05-08,LNG,ENTRY,2026-05-10,next_open
2026-05-08,L,ENTRY,2026-05-10,next_open
2026-05-08,NSSC,ENTRY,2026-05-10,next_open
2026-05-08,COP,ENTRY,2026-05-10,next_open
2026-05-08,KMT,ENTRY,2026-05-10,next_open
2026-05-08,XOM,ENTRY,2026-05-10,next_open
2026-05-08,HCA,EXIT,2026-05-08,close
2026-05-08,CNX,EXIT,2026-05-08,close
2026-05-08,WEX,EXIT,2026-05-08,close
2026-05-08,IBP,EXIT,2026-05-08,close
2026-05-08,MCK,EXIT,2026-05-08,close
2026-05-08,USPH,EXIT,2026-05-08,close
2026-05-08,WM,EXIT,2026-05-08,close
