date,equity
2007-10-19,5030202.844516475
2007-10-22,5070627.95889026
2007-10-23,5099466.80734515
2007-10-24,5080911.431609328
2007-10-25,5067046.766914806
2007-10-26,5120370.002572365
2007-10-29,5127055.949579676
2007-10-30,5112950.304632724
2007-10-31,5159332.5548825385
2007-11-01,5050122.210735464
2007-11-02,5053216.266873359
2007-11-05,5025974.511934175
2007-11-06,5071902.831439177
2007-11-07,4971951.42622903
2007-11-08,4993649.672561173
2007-11-09,4951574.465491268
2007-11-12,4951574.465491268
2007-11-13,4951574.465491268
2007-11-14,4951574.465491268
2007-11-15,4951574.465491268
2007-11-16,4951574.465491268
2007-11-19,4951574.465491268
2007-11-20,4951574.465491268
2007-11-21,4951574.465491268
2007-11-23,4951574.465491268
2007-11-26,4951574.465491268
2007-11-27,4951574.465491268
2007-11-28,4951574.465491268
2007-11-29,4951574.465491268
2007-11-30,4951574.465491268
2007-12-03,4951574.465491268
2007-12-04,4951574.465491268
2007-12-05,4951574.465491268
2007-12-06,4951574.465491268
2007-12-07,4951574.465491268
2007-12-10,4951574.465491268
2007-12-11,4951574.465491268
2007-12-12,4951574.465491268
2007-12-13,4951574.465491268
2007-12-14,4951574.465491268
2007-12-17,4951574.465491268
2007-12-18,4951574.465491268
2007-12-19,4951574.465491268
2007-12-20,4951574.465491268
2007-12-21,4951574.465491268
2007-12-24,4951574.465491268
2007-12-26,4951574.465491268
2007-12-27,4951574.465491268
2007-12-28,4951574.465491268
2007-12-31,4951574.465491268
2008-01-02,4951574.465491268
2008-01-03,4951574.465491268
2008-01-04,4951574.465491268
2008-01-07,4951574.465491268
2008-01-08,4951574.465491268
2008-01-09,4951574.465491268
2008-01-10,4951574.465491268
2008-01-11,4951574.465491268
2008-01-14,4951574.465491268
2008-01-15,4951574.465491268
2008-01-16,4951574.465491268
2008-01-17,4951574.465491268
2008-01-18,4951574.465491268
2008-01-22,4951574.465491268
2008-01-23,4951574.465491268
2008-01-24,4951574.465491268
2008-01-25,4951574.465491268
2008-01-28,4951574.465491268
2008-01-29,4951574.465491268
2008-01-30,4951574.465491268
2008-01-31,4951574.465491268
2008-02-01,4951574.465491268
2008-02-04,4951574.465491268
2008-02-05,4951574.465491268
2008-02-06,4951574.465491268
2008-02-07,4951574.465491268
2008-02-08,4951574.465491268
2008-02-11,4951574.465491268
2008-02-12,4951574.465491268
2008-02-13,4951574.465491268
2008-02-14,4951574.465491268
2008-02-15,4951574.465491268
2008-02-19,4951574.465491268
2008-02-20,4951574.465491268
2008-02-21,4951574.465491268
2008-02-22,4951574.465491268
2008-02-25,4951574.465491268
2008-02-26,4951574.465491268
2008-02-27,4951574.465491268
2008-02-28,4951574.465491268
2008-02-29,4951574.465491268
2008-03-03,4951574.465491268
2008-03-04,4951574.465491268
2008-03-05,4951574.465491268
2008-03-06,4951574.465491268
2008-03-07,4951574.465491268
2008-03-10,4951574.465491268
2008-03-11,4951574.465491268
2008-03-12,4951574.465491268
2008-03-13,4951574.465491268
2008-03-14,4951574.465491268
2008-03-17,4951574.465491268
2008-03-18,4951574.465491268
2008-03-19,4951574.465491268
2008-03-20,4951574.465491268
2008-03-24,4951574.465491268
2008-03-25,4951574.465491268
2008-03-26,4951574.465491268
2008-03-27,4951574.465491268
2008-03-28,4951574.465491268
2008-03-31,4951574.465491268
2008-04-01,4951574.465491268
2008-04-02,4951574.465491268
2008-04-03,4951574.465491268
2008-04-04,4951574.465491268
2008-04-07,4951574.465491268
2008-04-08,4951574.465491268
2008-04-09,4951574.465491268
2008-04-10,4951574.465491268
2008-04-11,4951574.465491268
2008-04-14,4951574.465491268
2008-04-15,4951574.465491268
2008-04-16,4951574.465491268
2008-04-17,4951574.465491268
2008-04-18,4951574.465491268
2008-04-21,4951574.465491268
2008-04-22,4951574.465491268
2008-04-23,4951574.465491268
2008-04-24,4951574.465491268
2008-04-25,4951574.465491268
2008-04-28,4951574.465491268
2008-04-29,4951574.465491268
2008-04-30,4951574.465491268
2008-05-01,4951574.465491268
2008-05-02,4951574.465491268
2008-05-05,4951574.465491268
2008-05-06,4951574.465491268
2008-05-07,4951574.465491268
2008-05-08,4951574.465491268
2008-05-09,4951574.465491268
2008-05-12,4951574.465491268
2008-05-13,4951574.465491268
2008-05-14,4951574.465491268
2008-05-15,4951574.465491268
2008-05-16,4951574.465491268
2008-05-19,4951574.465491268
2008-05-20,4951574.465491268
2008-05-21,4951574.465491268
2008-05-22,4951574.465491268
2008-05-23,4951574.465491268
2008-05-27,4951574.465491268
2008-05-28,4951574.465491268
2008-05-29,4951574.465491268
2008-05-30,4951574.465491268
2008-06-02,4951574.465491268
2008-06-03,4951574.465491268
2008-06-04,4951574.465491268
2008-06-05,4951574.465491268
2008-06-06,4951574.465491268
2008-06-09,4951574.465491268
2008-06-10,4951574.465491268
2008-06-11,4951574.465491268
2008-06-12,4951574.465491268
2008-06-13,4951574.465491268
2008-06-16,4951574.465491268
2008-06-17,4951574.465491268
2008-06-18,4951574.465491268
2008-06-19,4951574.465491268
2008-06-20,4951574.465491268
2008-06-23,4951574.465491268
2008-06-24,4951574.465491268
2008-06-25,4951574.465491268
2008-06-26,4951574.465491268
2008-06-27,4951574.465491268
2008-06-30,4951574.465491268
2008-07-01,4951574.465491268
2008-07-02,4951574.465491268
2008-07-03,4951574.465491268
2008-07-07,4951574.465491268
2008-07-08,4951574.465491268
2008-07-09,4951574.465491268
2008-07-10,4951574.465491268
2008-07-11,4951574.465491268
2008-07-14,4951574.465491268
2008-07-15,4951574.465491268
2008-07-16,4951574.465491268
2008-07-17,4951574.465491268
2008-07-18,4951574.465491268
2008-07-21,4951574.465491268
2008-07-22,4951574.465491268
2008-07-23,4951574.465491268
2008-07-24,4951574.465491268
2008-07-25,4951574.465491268
2008-07-28,4951574.465491268
2008-07-29,4951574.465491268
2008-07-30,4951574.465491268
2008-07-31,4951574.465491268
2008-08-01,4951574.465491268
2008-08-04,4951574.465491268
2008-08-05,4951574.465491268
2008-08-06,4951574.465491268
2008-08-07,4951574.465491268
2008-08-08,4951574.465491268
2008-08-11,4951574.465491268
2008-08-12,4951574.465491268
2008-08-13,4951574.465491268
2008-08-14,4951574.465491268
2008-08-15,4951574.465491268
2008-08-18,4951574.465491268
2008-08-19,4951574.465491268
2008-08-20,4951574.465491268
2008-08-21,4951574.465491268
2008-08-22,4951574.465491268
2008-08-25,4951574.465491268
2008-08-26,4951574.465491268
2008-08-27,4951574.465491268
2008-08-28,4951574.465491268
2008-08-29,4951114.158923688
2008-09-02,4950904.386778348
2008-09-03,4950127.835009731
2008-09-04,4948724.634422866
2008-09-05,4948731.780064873
2008-09-08,4949255.37328548
2008-09-09,4947904.73724187
2008-09-10,4948218.820293515
2008-09-11,4948767.4393705735
2008-09-12,4949392.836142605
2008-09-15,4948431.290220672
2008-09-16,4949434.901066781
2008-09-17,4947998.783580262
2008-09-18,4948902.830863835
2008-09-19,4950296.125105419
2008-09-22,4949060.391338757
2008-09-23,4948296.86971256
2008-09-24,4948256.980699088
2008-09-25,4948686.286300733
2008-09-26,4949056.513093489
2008-09-29,4949056.513093489
2008-09-30,4949056.513093489
2008-10-01,4949056.513093489
2008-10-02,4949056.513093489
2008-10-03,4949056.513093489
2008-10-06,4949056.513093489
2008-10-07,4949056.513093489
2008-10-08,4949056.513093489
2008-10-09,4949056.513093489
2008-10-10,4949056.513093489
2008-10-13,4949056.513093489
2008-10-14,4949056.513093489
2008-10-15,4949056.513093489
2008-10-16,4949056.513093489
2008-10-17,4949056.513093489
2008-10-20,4949056.513093489
2008-10-21,4949056.513093489
2008-10-22,4949056.513093489
2008-10-23,4949056.513093489
2008-10-24,4949056.513093489
2008-10-27,4949056.513093489
2008-10-28,4949056.513093489
2008-10-29,4949056.513093489
2008-10-30,4949056.513093489
2008-10-31,4949056.513093489
2008-11-03,4949056.513093489
2008-11-04,4949056.513093489
2008-11-05,4949056.513093489
2008-11-06,4949056.513093489
2008-11-07,4949056.513093489
2008-11-10,4949056.513093489
2008-11-11,4949056.513093489
2008-11-12,4949056.513093489
2008-11-13,4949056.513093489
2008-11-14,4949056.513093489
2008-11-17,4949056.513093489
2008-11-18,4949056.513093489
2008-11-19,4949056.513093489
2008-11-20,4949056.513093489
2008-11-21,4949056.513093489
2008-11-24,4949056.513093489
2008-11-25,4949056.513093489
2008-11-26,4949056.513093489
2008-11-28,4949056.513093489
2008-12-01,4949056.513093489
2008-12-02,4949056.513093489
2008-12-03,4949056.513093489
2008-12-04,4949056.513093489
2008-12-05,4949056.513093489
2008-12-08,4949056.513093489
2008-12-09,4949056.513093489
2008-12-10,4949056.513093489
2008-12-11,4949056.513093489
2008-12-12,4949056.513093489
2008-12-15,4949056.513093489
2008-12-16,4949056.513093489
2008-12-17,4949056.513093489
2008-12-18,4949056.513093489
2008-12-19,4949056.513093489
2008-12-22,4949056.513093489
2008-12-23,4949056.513093489
2008-12-24,4949056.513093489
2008-12-26,4949056.513093489
2008-12-29,4949056.513093489
2008-12-30,4949056.513093489
2008-12-31,4949056.513093489
2009-01-02,4949056.513093489
2009-01-05,4949056.513093489
2009-01-06,4949056.513093489
2009-01-07,4949056.513093489
2009-01-08,4949056.513093489
2009-01-09,4949056.513093489
2009-01-12,4949056.513093489
2009-01-13,4949056.513093489
2009-01-14,4949056.513093489
2009-01-15,4949056.513093489
2009-01-16,4949056.513093489
2009-01-20,4949056.513093489
2009-01-21,4949056.513093489
2009-01-22,4949056.513093489
2009-01-23,4949056.513093489
2009-01-26,4949056.513093489
2009-01-27,4949056.513093489
2009-01-28,4949056.513093489
2009-01-29,4949056.513093489
2009-01-30,4949056.513093489
2009-02-02,4949056.513093489
2009-02-03,4949056.513093489
2009-02-04,4949056.513093489
2009-02-05,4949056.513093489
2009-02-06,4949056.513093489
2009-02-09,4949056.513093489
2009-02-10,4949056.513093489
2009-02-11,4949056.513093489
2009-02-12,4949056.513093489
2009-02-13,4949056.513093489
2009-02-17,4949056.513093489
2009-02-18,4949056.513093489
2009-02-19,4949056.513093489
